"tagID","projectID","tsStart","tsEnd","tsStartCode","tsEndCode"
8437,1,1595376000,1596699417.29277,1,3
8438,1,1435708800,1443484800,2,5
8439,1,1435708800,1443484800,2,5
9868,45,1412281800,1423101407.98874,1,3
9869,45,1412286600,1423106349.42713,1,3
9870,45,1412622600,1423442349.42713,1,3
9871,45,1412106600,1422926349.42713,1,3
9872,45,1412632800,1423452549.42713,1,3
9873,45,1411745999,1471218660.4326,1,3
9874,45,1411765200,1471238633.33244,1,3
9875,45,1411750500,1471223933.33244,1,3
9876,45,1411754700,1471228133.33244,1,3
9877,45,1411768380,1471241041.4326,1,3
9878,45,1411846800,1471319461.4326,1,3
9879,45,1411918200,1471390861.4326,1,3
9880,45,1411855500,1471328933.33244,1,3
9881,45,1411928400,1471401061.4326,1,3
9882,45,1412112000,1471584661.4326,1,3
9883,45,1410989100,1470461761.4326,1,3
9884,45,1410993300,1470465189.52366,1,3
9885,45,1411058100,1470530761.4326,1,3
9886,45,1411062300,1470534189.52366,1,3
9887,45,1411070400,1470542289.52366,1,3
9888,45,1411485600,1470957489.52366,1,3
9889,45,1411078500,1470550389.52366,1,3
9890,45,1411499100,1470971761.4326,1,3
9891,45,1411596600,1471068489.52366,1,3
9892,45,1411505100,1470977761.4326,1,3
9893,45,1411149600,1421969066.54869,1,3
9894,45,1411155600,1421975066.54869,1,3
9895,45,1411848900,1422667942.21872,1,3
9896,45,1411851600,1422671207.98874,1,3
9897,45,1411913100,1422732566.54869,1,3
9898,45,1411760700,1422580307.98874,1,3
9899,45,1410979500,1421798825.10701,1,3
9900,45,1410995820,1421815427.98874,1,3
9901,45,1411147200,1421966666.54869,1,3
9902,45,1412004300,1422824049.42713,1,3
9903,45,1412031000,1422850749.42713,1,3
9904,45,1412100000,1422919749.42713,1,3
9905,45,1412098200,1422917807.98874,1,3
9906,45,1412136000,1422955749.42713,1,3
9907,3,1409630400,1421270750.5075,1,3
9908,3,1410235200,1421875550.5075,1,3
9909,3,1409284800,1427697493.06568,1,3
9910,3,1414641600,1433054293.06568,1,3
9911,3,1409630400,1428043294.18825,1,3
9912,3,1414641600,1433054494.18825,1,3
9913,3,1414641600,1433054360.10707,1,3
9914,3,1414641600,1433054494.18825,1,3
9915,3,1414641600,1433054494.18825,1,3
9916,3,1414641600,1433054293.06568,1,3
9917,3,1414641600,1433054427.14793,1,3
9918,3,1410321600,1428734360.10707,1,3
9919,3,1410321600,1428734494.18825,1,3
9920,3,1410321600,1428734360.10707,1,3
9921,3,1412654400,1431067160.10707,1,3
9922,3,1414641600,1433054360.10707,1,3
9923,3,1410062400,1428475227.14793,1,3
9924,3,1410062400,1428475294.18825,1,3
9925,3,1409284800,1427697694.18825,1,3
9926,3,1410321600,1428734293.06568,1,3
9927,3,1410321600,1428734494.18825,1,3
9928,3,1410062400,1428475160.10707,1,3
9929,3,1409284800,1427697493.06568,1,3
