"projectID","deviceID","tsStart","tsEnd"
1,0,NA,NA
1,11,1432252800,1463616000
1,11,1465070340,NA
1,13,1528329600,1575320450
1,13,1575325820,NA
1,15,1499675390,1539216000
1,15,1541462400,NA
1,27,1435795200,NA
1,29,1434412800,1461110400
1,29,1464393600,NA
1,52,1437609600,1437955200
1,52,1437955200,1438128000
1,52,1438128000,1447027200
1,52,1460151940,NA
1,53,1499417980,1529971200
1,53,1530921600,1547078400
1,73,1431302400,1481068800
1,73,1489763840,1521072000
1,84,1472428800,1492214400
1,84,1496188800,1510099200
1,84,1510099200,1523223040
1,84,1523223040,1563408000
1,88,1431302400,1482264060
1,88,1482264060,1492964100
1,89,1432252800,NA
1,91,1472058880,1494460800
1,91,1494460800,1510099200
1,91,1510099200,1523027460
1,91,1523289600,1552262400
1,91,1571702400,NA
1,96,1471991420,1481673600
1,96,1481673600,1495584000
1,103,1471969790,1481673600
1,103,1481673600,1492560000
1,103,1492560000,1510099200
1,103,1510099200,1523227780
1,103,1523227900,NA
1,105,1461079810,NA
1,106,1438128000,1449014400
1,106,1450310400,NA
1,109,1493024380,1499439620
1,109,1499439620,1499898620
1,109,1499963390,1531170560
1,122,1472161150,1473415170
1,122,1473455360,1482173950
1,122,1482173950,1490227200
1,122,1490313600,1493042430
1,122,1493042430,1497830400
1,122,1497830400,1551916800
1,127,1430956800,1433770240
1,141,1472077180,1509667200
1,142,1416182400,1429105540
1,142,1429105540,1479168000
1,142,1479168000,1491218940
1,142,1491220740,NA
1,152,1411689600,1434672000
1,152,1436896770,1443571200
1,152,1460152320,1461322110
1,152,1461340540,1479254400
1,152,1479254400,1559779200
1,152,1572912000,1577923200
1,152,1580155140,NA
1,154,1429700350,1478563200
1,154,1478563200,1491319810
1,154,1491321600,1499795970
1,154,1499801340,NA
1,155,NA,NA
1,157,1430870400,1492387200
1,157,1492387200,NA
1,172,1430136060,NA
1,173,1430330370,1443866370
1,173,1443902460,1473427840
1,174,1463068800,NA
1,175,1557014400,NA
1,178,1534550400,1559520000
1,178,1559520000,NA
1,189,1429894780,1478822400
1,189,1478822400,1491204610
1,189,1491208190,NA
1,194,1430236800,1507039230
1,194,1507049980,NA
1,202,1492793980,1521158400
1,202,1535673600,1567987200
1,207,1431170940,1480982400
1,207,1480982400,1489968000
1,207,1489968000,1525305600
1,210,1529798400,1534464000
1,217,1428602370,1447977600
1,217,1447977600,1479686400
1,217,1479686400,1491782400
1,217,1491782400,1575324030
1,217,1575590400,1575673220
1,222,1433462400,1472169600
1,223,1429642750,1478563200
1,223,1478563200,1492189180
1,223,1492189180,1544313600
1,224,1429574400,1478563200
1,224,1478563200,1491350400
1,224,1491399040,NA
1,229,1430784000,1482238850
1,229,1482238850,1491782400
1,229,1491812990,1510358400
1,237,1430956800,1442448000
1,237,1462463100,1465998210
1,237,1466009470,1482157820
1,237,1492775940,NA
1,251,1406764800,1479513600
1,251,1479513600,NA
1,252,1398384000,1407715200
1,252,1407715200,1416528000
1,252,1416528000,1427932800
1,252,1427932800,1479772800
1,252,1479772800,1492905600
1,253,1397692800,1408060800
1,253,1408060800,1415750400
1,253,1415750400,1429879170
1,253,1429879170,1479427200
1,253,1479427200,1491696000
1,253,1491696000,1556665220
1,253,1556665220,1572091140
1,253,1572091260,NA
1,254,1396656000,1407715200
1,254,1407715200,1415750400
1,254,1415750400,1428583550
1,254,1428583550,1480103940
1,254,1480103940,1492387200
1,254,1492387200,NA
1,256,1403568000,1428969600
1,256,1429034370,1478649600
1,256,1478649600,1491312640
1,256,1491314430,NA
1,257,1398816000,1402099200
1,257,1402099200,1408147200
1,257,1429528450,1478649600
1,257,1478649600,1492180220
1,257,1492180740,1557100800
1,257,1557104380,NA
1,258,1397088000,1408924800
1,258,1408924800,1482152450
1,258,1482152450,1492473600
1,258,1492473600,1513728000
1,258,1521072000,NA
1,262,1399507200,1416355200
1,262,1416355200,1429448450
1,262,1429448450,1479168000
1,262,1479168000,1493998210
1,262,1.494e+09,NA
1,263,1396656000,1407801600
1,263,1407801600,1415750400
1,263,1415750400,1428403460
1,263,1428403460,1479254400
1,263,1479254400,1489566590
1,263,1489568380,NA
1,264,1399334400,1411603200
1,264,1411603200,1415664000
1,264,1415664000,1428591620
1,264,1428591620,1479427200
1,264,1479427200,1491609600
1,264,1491609600,1519257600
1,264,1573430400,NA
1,267,1398643200,1416355200
1,267,1416355200,1417359620
1,267,1429462140,1478563200
1,267,1478563200,1491388160
1,267,1491397250,NA
1,269,1398988800,1407283200
1,269,1407283200,1413676800
1,269,1429713020,1478822400
1,269,1478822400,1491294590
1,269,1493888380,NA
1,272,1399334400,1415750400
1,272,1415750400,1428682500
1,272,1428682500,1479427200
1,272,1479427200,1491609600
1,272,1491609600,1583693950
1,275,1398038400,1415664000
1,275,1415664000,1431129600
1,275,1431129600,1491868800
1,276,1403481600,1416182400
1,276,1429091070,1479168000
1,276,1479168000,1491326980
1,276,1491328770,NA
1,277,1397779200,1462276860
1,277,1462276860,1467394180
1,277,1467394300,1479200380
1,277,1479200380,1492079360
1,277,1492079490,NA
1,278,1399248000,1416355200
1,278,1416355200,1429442940
1,278,1429442940,1478563200
1,278,1478563200,1491650940
1,278,1491652860,NA
1,281,1398556800,1403049600
1,281,1403049600,1415750400
1,281,1415750400,1428398980
1,281,1428398980,1482192000
1,282,1397433600,1416355200
1,282,1416355200,1429456770
1,282,1429456770,1478563200
1,282,1478563200,1491402620
1,282,1491404420,NA
1,284,1398297600,1407369600
1,284,1407369600,1479772800
1,284,1479772800,1492473600
1,284,1492473600,1559260800
1,284,1572912000,1576800000
1,286,1404950400,1461944580
1,286,1461957250,1482192000
1,288,1396656000,1403049600
1,288,1403049600,1407801600
1,288,1407801600,1416700800
1,288,1416700800,1428578940
1,288,1428578940,1473379200
1,289,1404691200,1416355200
1,289,1416355200,1429026050
1,289,1429026050,1479168000
1,289,1479168000,NA
1,290,1397260800,1409961600
1,290,1414368000,1534280960
1,290,1536624000,NA
1,291,1397692800,1416441600
1,291,1416441600,1429030140
1,291,1429030140,1434931200
1,291,1436918400,1461262210
1,291,1461332100,1478822400
1,291,1478822400,1491226240
1,291,1491228030,1540252800
1,292,1396656000,1407456000
