"id","projectID","serno","tsStart","tsEnd","monoBNlow","monoBNhigh","progName","paramName","paramVal","why"
37,76,NA,1438387200,1459837300,NA,NA,"find_tags_motus","default_freq",150.336,"project frequency for 2015 tags"
1,76,NA,1459837300,1472110000,NA,NA,"find_tags_motus","default_freq",150.336,"project frequency for spring 2016 tags"
2,76,NA,1472054000,NA,NA,NA,"find_tags_motus","default_freq",150.096,"project frequency for fall 2016 tags"
36,113,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",150.096,"default project frequency"
5,114,NA,1451606400,NA,NA,NA,"find_tags_motus","default_freq",150.096,"project frequency for all 2016 tags"
12,123,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",150.096,"default project frequency"
15,157,NA,1485598460,NA,NA,NA,"find_tags_motus","pulses_only",NA,"only beeper tags in range of this project's receivers"
68,173,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",150.096,"default project frequency"
59,177,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",151.496,"default project frequency"
38,181,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",150.169,"project frequency"
63,182,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",150.096,"default project frequency"
69,186,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",150.096,"default project frequency"
70,211,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",150.096,"default project frequency"
60,214,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",151.496,"default project frequency"
61,235,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",151.496,"default project frequency"
62,236,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",151.496,"default project frequency"
71,241,NA,NA,NA,NA,NA,"find_tags_motus","default_freq",151.496,"default project frequency"
6,NA,"SG-0613BB000613",NA,NA,19,20,"find_tags_motus","burst_slop",10,"higher time variance due to frequency switching?"
7,NA,"SG-0613BB000613",NA,NA,19,20,"find_tags_motus","pulse_slop",2.5,"higher time variance due to frequency switching?"
